seed,arm,event_type,subgraph,n_connections,trace_src_positive_rate,phi_tgt_positive_rate,support_rate,trace_l1,phi_l1,raw_l1,dW_l1,tag_delta_l1,support_over_trace_phi_expected,trace_phi_overlap_index,support_concentration_by_subgraph,h_mean_supported,h_mean_unsupported,h_support_ratio,corr_h_trace_src,corr_h_phi_tgt,corr_h_support,LL_special_case_flag,RR_seed_split_flag,R_event_collapse_flag,support_decomposition_verdict,trace_count,phi_count,support_count
42,exact_replay,L,L,5904,0.055894,0.086382,0.005081,1.301228,2.31121,0.00044,0.000162,0.000162,1.052406,0.090909,0.005081,0.163946,0.119891,1.367459,0.029573,0.066028,0.035769,0,0,0,h_not_upstream_of_9C_support,330,510,30
42,exact_replay,L,L,912,0.065789,0.0,0.0,0.197094,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.116334,nan,0.080179,nan,nan,0,0,0,support_geometry_mixed,60,0,0
42,exact_replay,L,L,5676,0.066949,0.0,0.0,1.798497,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.121945,nan,0.077459,nan,nan,0,0,0,support_geometry_mixed,380,0,0
42,exact_replay,L,LL,5904,0.055894,0.086382,0.005081,1.301228,2.31121,0.00044,0.000162,0.000162,1.052406,0.090909,0.005081,0.163946,0.119891,1.367459,0.029573,0.066028,0.035769,1,0,0,LL_topology_support_special_case,330,510,30
42,exact_replay,L,LM,912,0.065789,0.0,0.0,0.197094,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.116334,nan,0.080179,nan,nan,0,0,0,support_geometry_mixed,60,0,0
42,exact_replay,L,LR,5676,0.066949,0.0,0.0,1.798497,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.121945,nan,0.077459,nan,nan,0,0,0,support_geometry_mixed,380,0,0
42,exact_replay,L,M,1050,0.0,0.074286,0.0,0.0,0.536963,0.0,0.0,0.0,nan,nan,0.0,nan,0.12308,nan,nan,0.141381,nan,0,0,0,support_geometry_mixed,0,78,0
42,exact_replay,L,M,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.106686,nan,nan,nan,nan,0,0,0,support_geometry_mixed,0,0,0
42,exact_replay,L,M,1032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.112296,nan,nan,nan,nan,0,0,0,support_geometry_mixed,0,0,0
42,exact_replay,L,ML,1050,0.0,0.074286,0.0,0.0,0.536963,0.0,0.0,0.0,nan,nan,0.0,nan,0.12308,nan,nan,0.141381,nan,0,0,0,support_geometry_mixed,0,78,0
42,exact_replay,L,MM,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.106686,nan,nan,nan,nan,0,0,0,support_geometry_mixed,0,0,0
42,exact_replay,L,MR,1032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.112296,nan,nan,nan,nan,0,0,0,support_geometry_mixed,0,0,0
