seed,arm,event_type,subgraph,n_connections,n_tagged,tag_rate,h_tag_ratio,phi_tag_ratio,surprise_tag_ratio,novelty_tag_ratio,mean_h_tagged,mean_h_untagged,mean_phi_tagged,mean_phi_untagged,auc_novelty,auc_phi,auc_surprise,auc_pos,auc_neg,auc_inverted_h,auc_baseline_weight,auc_abs_dW,best_predictor,matched_phi_novelty_auc,matched_h_phi_auc,dW_l1_tagged,dW_l1_untagged,corr_abs_dW_tag_strength,subgraph_verdict
42,exact_replay,L,LL,5904,30,0.005081,1.367459,1.308849,0.849886,0.822309,0.163946,0.119891,0.475897,0.3636,0.412524,0.602213,0.461463,0.438866,0.495727,0.386171,0.484122,1.0,abs_dW,0.47905,0.612223,0.000162,0.0,1.0,raw_9C_geometry_root
42,exact_replay,L,LM,912,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
42,exact_replay,L,LR,5676,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
42,exact_replay,L,ML,1050,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
42,exact_replay,L,MM,114,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
42,exact_replay,L,MR,1032,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
42,exact_replay,L,RL,5628,35,0.006219,0.529825,0.476664,0.651234,1.342193,0.063485,0.119823,0.17437,0.365814,0.766453,0.24687,0.360706,0.508442,0.37337,0.703119,0.546459,1.0,abs_dW,0.720848,0.461099,0.000338,0.0,1.0,raw_9C_geometry_root
42,exact_replay,L,RM,828,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
42,exact_replay,L,RR,5766,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
42,exact_replay,R,ALL,26910,158,0.005871,0.911406,0.863027,0.825187,1.077843,0.126469,0.138763,0.311782,0.361266,0.553181,0.444296,0.436902,0.469301,0.470289,0.543378,0.488905,1.0,abs_dW,0.525851,0.481853,0.0006,0.0,1.0,raw_9C_geometry_root
42,exact_replay,R,LL,5904,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
42,exact_replay,R,LM,912,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
42,exact_replay,R,LR,5676,78,0.013742,1.043158,1.00358,1.044744,0.970782,0.150021,0.143815,0.376281,0.374939,0.478232,0.510077,0.53007,0.467914,0.562028,0.478319,0.47871,1.0,abs_dW,0.503503,0.399998,0.000283,0.0,1.0,raw_9C_geometry_root
42,exact_replay,R,ML,1050,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
42,exact_replay,R,MM,114,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
42,exact_replay,R,MR,1032,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
42,exact_replay,R,RL,5628,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
42,exact_replay,R,RM,828,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
42,exact_replay,R,RR,5766,80,0.013874,0.80745,0.742079,0.619066,1.14823,0.103506,0.128189,0.248895,0.335402,0.617097,0.384088,0.365903,0.458917,0.417864,0.594996,0.498459,1.0,abs_dW,0.509819,0.46581,0.000317,0.0,1.0,raw_9C_geometry_root
77,closed_loop,ALL,ALL,62790,493,0.007852,1.007989,0.93778,0.902484,1.030071,0.109367,0.108501,0.339835,0.362383,0.521084,0.473302,0.479522,0.45426,0.516592,0.491829,0.528015,1.0,abs_dW,0.504188,0.464833,0.0013,0.0,1.0,raw_9C_geometry_root
77,closed_loop,ALL,LL,12488,64,0.005125,1.343001,1.104809,0.842126,0.947682,0.132969,0.099009,0.361187,0.326923,0.49417,0.509138,0.462108,0.369539,0.505325,0.395668,0.60695,1.0,abs_dW,0.539914,0.484049,0.00028,0.0,1.0,raw_9C_geometry_root
77,closed_loop,ALL,LM,2926,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
77,closed_loop,ALL,LR,12516,72,0.005753,0.928692,1.05837,0.974039,0.919659,0.098495,0.106058,0.374722,0.354056,0.440238,0.532066,0.52554,0.550034,0.583684,0.494777,0.567873,1.0,abs_dW,0.441199,0.508655,0.000173,0.0,1.0,raw_9C_geometry_root
77,closed_loop,ALL,ML,2828,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
77,closed_loop,ALL,MM,826,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
