seed,gap,mode,arm,total_events,event_count_L,event_count_R,final_weight_l1,pair_interval,num_pairs_target,completed_pairs,first_L_step,first_R_step,last_L_step,last_R_step,L_to_R_signed_mean,R_to_L_signed_mean,L_to_R_l1,R_to_L_l1,crossing_per_unit_mean,crossing_per_unit_median,crossing_per_unit_min,crossing_per_unit_max,frac_steps_with_crossing,mean_inter_crossing_interval,crossing_balance_lr,crossing_q4_q1_ratio
999,80,onset,simultaneous,10,5,5,0.04414477710777162,660,5,5,200,200,2840,2840,-0.0007300162209835857,1.9193175833609358e-05,0.045084856870433156,0.043138588180605154,,,,,,,,
999,80,onset,separated_control,10,5,5,0.04414688722418038,660,5,5,200,530,2840,3170,-0.0007324927543365637,1.748386855002206e-05,0.045085612042829334,0.04314167002255186,,,,,,,,
999,80,threshold_crossing,L_then_R,10,5,5,0.044139397628862424,660,5,5,200,280,2840,2920,-0.0007289602062222154,1.768464087447779e-05,0.045077160325283104,0.043134800046568535,3.1433333333333335,1.0,0,17,0.20351351351351352,1177.0943796394486,0.15867158671586715,0.8871595330739299
999,80,threshold_crossing,R_then_L,10,5,5,0.04413629101744237,660,5,5,280,200,2920,2840,-0.0007292278023448142,2.263556190378878e-05,0.0450756594651369,0.04313000233190989,3.3933333333333335,2.0,0,16,0.2164864864864865,1090.3732809430255,0.14709236031927023,0.8204225352112675
999,80,threshold_crossing,simultaneous,10,5,5,0.04413514824000226,660,5,5,200,200,2840,2840,-0.0007292905643304408,2.0904057047169426e-05,0.04507500661616392,0.04313061778700492,3.2133333333333334,2.0,0,18,0.20702702702702702,1151.4522821576763,0.09245742092457421,0.872093023255814
999,80,threshold_crossing,separated_control,10,5,5,0.04413860635648556,660,5,5,200,530,2840,3170,-0.0007319365047451912,1.9029135878226158e-05,0.0450765539356613,0.04313373203384645,3.1,2.0,0,16,0.2,1193.5483870967741,0.18282208588957055,0.9190283400809717
999,500,OFF,L_then_R,10,5,5,0.06746005236377745,1080,5,5,200,700,4520,5020,-0.001125064145653768,2.4243734370538702e-05,0.06889368419636813,0.06592265804227895,,,,,,,,
999,500,OFF,R_then_L,10,5,5,0.06745719808146639,1080,5,5,700,200,5020,4520,-0.0011223038311843662,2.5032764179451397e-05,0.0688895361277597,0.06592095006600975,,,,,,,,
999,500,OFF,simultaneous,10,5,5,0.06745605833438703,1080,5,5,200,200,4520,4520,-0.001121837536247134,2.5471522400484267e-05,0.06889031455308016,0.06591726401175992,,,,,,,,
999,500,OFF,separated_control,10,5,5,0.06745847335600925,1080,5,5,200,740,4520,5060,-0.0011213473188552887,2.4021351747469363e-05,0.06889059966309521,0.06592071543668615,,,,,,,,
999,500,activity,L_then_R,10,5,5,0.06745848649069267,1080,5,5,200,700,4520,5020,-0.0010388453349102786,0.00010001057333059695,0.06888496522245312,0.06592955679246527,,,,,,,,
999,500,activity,R_then_L,10,5,5,0.06746221989856539,1080,5,5,700,200,5020,4520,-0.0010370126468181226,9.776779912518238e-05,0.06889702908761801,0.06591834762791274,,,,,,,,
999,500,activity,simultaneous,10,5,5,0.06745368010225417,1080,5,5,200,200,4520,4520,-0.0010310506873279376,0.00011690938356963396,0.06890097696343711,0.0659042988226447,,,,,,,,
999,500,activity,separated_control,10,5,5,0.06746192472734101,1080,5,5,200,740,4520,5060,-0.0010539250028923587,8.99606623455923e-05,0.06888119075716966,0.06594280236115328,,,,,,,,
999,500,onset,L_then_R,10,5,5,0.06745980754070455,1080,5,5,200,700,4520,5020,-0.0011250403527838814,2.5268622958174503e-05,0.06889324554276396,0.06592292669492475,,,,,,,,
999,500,onset,R_then_L,10,5,5,0.06745668895029161,1080,5,5,700,200,5020,4520,-0.0011227741943869727,2.4521335236327946e-05,0.06888794262336805,0.06592147545133122,,,,,,,,
999,500,onset,simultaneous,10,5,5,0.06745863153260913,1080,5,5,200,200,4520,4520,-0.001123712200799684,2.5560385534920336e-05,0.06889335311986391,0.0659218875850225,,,,,,,,
999,500,onset,separated_control,10,5,5,0.06745762435524509,1080,5,5,200,740,4520,5060,-0.0011242918124832531,2.4872916450242658e-05,0.06889135731743472,0.06591881956224854,,,,,,,,
