seed,arm,event_type,subgraph,n_connections,dW_support_rate,tag_support_rate,phi_proxy_positive_rate,phi_proxy_dW_match_rate,phi_proxy_false_positive_rate,phi_proxy_false_negative_rate,tag_dW_match_rate,dW_l1,tag_delta_l1,mean_phi_dW_supported,mean_phi_dW_unsupported,mean_h_dW_supported,mean_h_dW_unsupported,h_support_ratio,phi_support_ratio,corr_h_dW_support,corr_phi_dW_support,support_geometry_verdict
42,exact_replay,L,LL,5904,0.005081,0.005081,1.0,0.005081,0.994919,0.0,1.0,0.000162,0.000162,0.475897,0.3636,0.163946,0.119891,1.367459,1.308849,0.035769,0.03216,proxy_phi_support_insufficient
42,exact_replay,L,LM,912,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.35819,nan,0.116334,nan,nan,nan,nan,proxy_phi_support_insufficient
42,exact_replay,L,LR,5676,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.372936,nan,0.121945,nan,nan,nan,nan,proxy_phi_support_insufficient
42,exact_replay,L,ML,1050,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.379313,nan,0.12308,nan,nan,nan,nan,proxy_phi_support_insufficient
42,exact_replay,L,MM,114,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.330778,nan,0.106686,nan,nan,nan,nan,proxy_phi_support_insufficient
42,exact_replay,L,MR,1032,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.347687,nan,0.112296,nan,nan,nan,nan,proxy_phi_support_insufficient
42,exact_replay,L,RL,5628,0.006219,0.006219,1.0,0.006219,0.993781,0.0,1.0,0.000338,0.000338,0.17437,0.365814,0.063485,0.119823,0.529825,0.476664,-0.050539,-0.060517,proxy_phi_support_insufficient
42,exact_replay,L,RM,828,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.376283,nan,0.121456,nan,nan,nan,nan,proxy_phi_support_insufficient
42,exact_replay,L,RR,5766,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.332418,nan,0.108385,nan,nan,nan,nan,proxy_phi_support_insufficient
42,exact_replay,R,ALL,26910,0.005871,0.005871,1.0,0.005871,0.994129,0.0,1.0,0.0006,0.0006,0.311782,0.361266,0.126469,0.138763,0.911406,0.863027,-0.009626,-0.0152,proxy_phi_support_insufficient
