seed,arm,capture_index,capture_step,capture_signal,tag_mass,slow_delta_l1,h_tag_cosine,tag_weighted_h,h_tag_ratio,novelty_mass,novelty_alignment,novelty_slow_corr,novelty_ratio,surprise_mag_mass,surprise_mag_alignment,surprise_mag_slow_corr,surprise_mag_ratio,phi_proxy,pos_surprise_mass,pos_surprise_alignment,neg_surprise_mass,neg_surprise_alignment,signed_surprise_slow_corr,background_vs_novelty_delta,background_vs_surprise_mag_delta,background_vs_pos_surprise_delta
77,exact_replay,2,3003,1.0,0.00019504,1.95e-05,0.07505528,0.07200271,0.970505,0.00010897,0.93433211,0.93387686,0.558696,1.261e-05,0.8996702,0.89897232,0.064628,True,2.5e-07,0.18584215,1.235e-05,0.88931173,-0.87421889,0.85927683,0.82461492,0.11078687
77,exact_replay,3,3504,1.0,0.00037145,3.714e-05,0.07853329,0.08751332,0.977629,0.00020855,0.93678409,0.93630485,0.561431,3.607e-05,0.96164518,0.9613674,0.097105,True,3.45e-06,0.25244102,3.262e-05,0.92820779,-0.8401095,0.8582508,0.88311189,0.17390773
77,exact_replay,4,4005,1.0,0.00043596,4.359e-05,0.07897264,0.10170232,0.980791,0.00024674,0.94310213,0.94266493,0.565961,2.771e-05,0.89857848,0.89774937,0.063569,True,3.46e-06,0.30895628,2.425e-05,0.85217907,-0.76491337,0.86412949,0.81960584,0.22998364
77,exact_replay,5,4506,1.0,0.00058932,5.892e-05,0.08006224,0.11583377,0.98259,0.00033429,0.94307356,0.94262466,0.567241,6.588e-05,0.79140832,0.79039791,0.111792,True,2.33e-06,0.22289385,6.356e-05,0.7782601,-0.76063412,0.86301132,0.71134608,0.1428316
77,exact_replay,6,5007,1.0,0.00053313,5.33e-05,0.07950949,0.12782905,0.984112,0.00030519,0.94583441,0.94540774,0.57244,4.986e-05,0.88036156,0.87941629,0.093525,True,1.575e-05,0.34914799,3.411e-05,0.80820143,-0.59772782,0.86632492,0.80085207,0.2696385
77,exact_replay,7,5508,1.0,0.00067715,6.77e-05,0.07941106,0.14199018,0.985948,0.00038505,0.93562424,0.9351205,0.568638,3.047e-05,0.85560992,0.85445338,0.044992,True,3.42e-06,0.51002916,2.704e-05,0.72722899,-0.51282366,0.85621318,0.77619886,0.4306181
77,exact_replay,8,6009,1.0,0.0008074,8.072e-05,0.07821299,0.15468503,0.988381,0.00045789,0.93403004,0.93353586,0.567116,5.331e-05,0.74700743,0.74546729,0.066022,True,1.032e-05,0.57625349,4.299e-05,0.57753902,-0.32737025,0.85581706,0.66879445,0.4980405
77,exact_replay,9,6510,1.0,0.00082537,8.252e-05,0.07621992,0.16553039,0.983704,0.00046969,0.93703194,0.93658448,0.569068,6.156e-05,0.90639012,0.90580559,0.074579,True,5.7e-07,0.13427238,6.098e-05,0.90199649,-0.89571171,0.86081201,0.83017019,0.05805246
77,exact_replay,10,7011,1.0,0.00074668,7.465e-05,0.07570059,0.1743751,0.97738,0.00042784,0.94010223,0.93967531,0.572995,0.00011475,0.72241195,0.72137666,0.153687,True,1.259e-05,0.28198024,0.00010217,0.67972001,-0.60855543,0.86440164,0.64671136,0.20627965
77,divergent_warmup_replay,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,divergent_warmup_replay,1,502,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,divergent_warmup_replay,2,1003,1.0,0.00019504,1.95e-05,0.07368313,0.08487913,0.979486,0.00011396,0.93956722,0.93914808,0.58425,1.238e-05,0.91077252,0.91016349,0.063456,True,6.4e-07,0.21563951,1.174e-05,0.88813443,-0.84331243,0.86588409,0.8370894,0.14195638
77,divergent_warmup_replay,3,1504,1.0,0.00037145,3.714e-05,0.0774829,0.09980877,0.978637,0.0002161,0.93800406,0.93753296,0.581766,2.474e-05,0.81497552,0.81378934,0.0666,True,4.34e-06,0.22496624,2.04e-05,0.78769405,-0.64717031,0.86052116,0.73749262,0.14748334
77,divergent_warmup_replay,4,2005,1.0,0.00043596,4.359e-05,0.07785049,0.11244828,0.980271,0.00025496,0.94779551,0.94739398,0.58483,2.879e-05,0.62243136,0.62037992,0.066047,True,1.287e-05,0.36976909,1.592e-05,0.594223,0.01282355,0.86994503,0.54458087,0.2919186
77,divergent_warmup_replay,5,2506,1.0,0.00058932,5.892e-05,0.07909071,0.12629128,0.984018,0.00034281,0.94690551,0.94648708,0.581703,7.398e-05,0.81568308,0.81477246,0.12554,True,2.092e-05,0.44951109,5.306e-05,0.68957691,-0.42969992,0.8678148,0.73659237,0.37042038
77,divergent_warmup_replay,6,3007,1.0,0.00053313,5.33e-05,0.0789881,0.13821906,0.985246,0.00031093,0.94871093,0.94830642,0.583213,6.528e-05,0.80034616,0.79930208,0.122437,True,1.591e-05,0.24785249,4.937e-05,0.76597714,-0.59719554,0.86972283,0.72135806,0.16886439
77,divergent_warmup_replay,7,3508,1.0,0.00067715,6.77e-05,0.07851885,0.15035297,0.979508,0.00039381,0.94032975,0.93986025,0.58157,6.533e-05,0.76860284,0.76755459,0.096479,True,1.204e-05,0.26343699,5.329e-05,0.7252765,-0.63276993,0.86181091,0.690084,0.18491815
77,divergent_warmup_replay,8,4009,1.0,0.0008074,8.072e-05,0.07686569,0.16181083,0.984637,0.00046911,0.94039448,0.93994601,0.581014,4.753e-05,0.85924292,0.85833245,0.058867,True,2.357e-05,0.62907393,2.396e-05,0.58775831,0.11244212,0.86352878,0.78237723,0.55220824
77,divergent_warmup_replay,9,4510,1.0,0.00082537,8.252e-05,0.07524186,0.17312198,0.983042,0.00047827,0.94147721,0.9410598,0.579457,6.793e-05,0.84527801,0.84449722,0.082298,True,1.877e-05,0.49619026,4.916e-05,0.70637481,-0.45072171,0.86623535,0.77003615,0.42094839
77,divergent_warmup_replay,10,5011,1.0,0.00074668,7.465e-05,0.07525061,0.18322342,0.980058,0.00043281,0.94057154,0.94014781,0.579647,5.457e-05,0.89202901,0.89142254,0.073086,True,4.27e-06,0.16907927,5.03e-05,0.87587033,-0.82896907,0.86532092,0.8167784,0.09382866
